ShipToID,ShipToParty,Account,Channel,Address,City,ShipToCountry,Continent,Latitude,Longitude
ST0001,Valley Dairy - Paris,Valley Dairy,Retail,459 Commerce St,Paris,France,Europe,48.88662,2.36011
ST0002,Valley Milk Co. - Barcelona,Valley Milk Co.,Retail,770 Commerce St,Barcelona,Spain,Europe,41.4022,2.20386
ST0003,Nordic Foods - Berlin,Nordic Foods,Key Account,161 Commerce St,Berlin,Germany,Europe,52.50042,13.40248
ST0004,Valley Brands - Paris,Valley Brands,Retail,59 Commerce St,Paris,France,Europe,48.83999,2.30467
ST0005,Green Nutrition - Stockholm,Green Nutrition,Retail,958 Commerce St,Stockholm,Sweden,Europe,59.34852,18.02997
ST0006,Alpine Dairy - Milan,Alpine Dairy,Foodservice,131 Commerce St,Milan,Italy,Europe,45.49599,9.20803
ST0007,Nordic Brands - Paris,Nordic Brands,Retail,601 Commerce St,Paris,France,Europe,48.89656,2.38084
ST0008,Green Foods - Toulouse,Green Foods,Retail,340 Commerce St,Toulouse,France,Europe,43.5741,1.45833
ST0009,Nordic Nutrition - Naples,Nordic Nutrition,Manufacturing,35 Commerce St,Naples,Italy,Europe,40.89093,14.23588
ST0010,Golden Dairy - Milan,Golden Dairy,Retail,390 Commerce St,Milan,Italy,Europe,45.43079,9.19677
ST0011,Valley Nutrition - Hamburg,Valley Nutrition,Manufacturing,556 Commerce St,Hamburg,Germany,Europe,53.59395,10.02948
ST0012,Euro Foods - Milan,Euro Foods,Key Account,456 Commerce St,Milan,Italy,Europe,45.46704,9.19208
ST0013,Golden Milk Co. - Prague,Golden Milk Co.,Manufacturing,749 Commerce St,Prague,Czech Republic,Europe,50.04713,14.46287
ST0014,Alpine Nutrition - Paris,Alpine Nutrition,Retail,380 Commerce St,Paris,France,Europe,48.8276,2.32963
ST0015,Euro Milk Co. - Hamburg,Euro Milk Co.,Retail,521 Commerce St,Hamburg,Germany,Europe,53.57722,9.95987
ST0016,Golden Dairy - Frankfurt,Golden Dairy,Manufacturing,593 Commerce St,Frankfurt,Germany,Europe,50.13113,8.70902
ST0017,Green Dairy - Turin,Green Dairy,Key Account,41 Commerce St,Turin,Italy,Europe,45.1115,7.715
ST0018,Alpine Brands - Marseille,Alpine Brands,Retail,503 Commerce St,Marseille,France,Europe,43.2711,5.34252
ST0019,Golden Brands - Valencia,Golden Brands,Foodservice,987 Commerce St,Valencia,Spain,Europe,39.46612,-0.38171
ST0020,Green Foods - Stockholm,Green Foods,Manufacturing,5 Commerce St,Stockholm,Sweden,Europe,59.32613,18.0871
ST0021,Alpine Foods - Marseille,Alpine Foods,Foodservice,15 Commerce St,Marseille,France,Europe,43.25109,5.35393
ST0022,Alpine Foods - Berlin,Alpine Foods,Manufacturing,241 Commerce St,Berlin,Germany,Europe,52.50144,13.40086
ST0023,Pure Milk Co. - Liege,Pure Milk Co.,Retail,749 Commerce St,Liege,Belgium,Europe,50.63398,5.54031
ST0024,Valley Milk Co. - Brno,Valley Milk Co.,Foodservice,243 Commerce St,Brno,Czech Republic,Europe,49.15612,16.64297
ST0025,Euro Milk Co. - Rotterdam,Euro Milk Co.,Foodservice,646 Commerce St,Rotterdam,Netherlands,Europe,51.91565,4.44184
ST0026,Valley Milk Co. - Paris,Valley Milk Co.,Manufacturing,640 Commerce St,Paris,France,Europe,48.88074,2.38961
ST0027,Green Foods - Lyon,Green Foods,Retail,377 Commerce St,Lyon,France,Europe,45.77477,4.78005
ST0028,Nordic Nutrition - Toulouse,Nordic Nutrition,Retail,710 Commerce St,Toulouse,France,Europe,43.60107,1.43174
ST0029,Euro Brands - Munich,Euro Brands,Retail,684 Commerce St,Munich,Germany,Europe,48.10441,11.54683
